"","year","model","temp","scenario"
"1",1960,"Observed",64.98364258,"hist"
"2",1961,"Observed",64.6078186,"hist"
"3",1962,"Observed",64.60528564,"hist"
"4",1963,"Observed",64.26570129,"hist"
"5",1964,"Observed",62.76147461,"hist"
"6",1965,"Observed",62.81739426,"hist"
"7",1966,"Observed",65.28959656,"hist"
"8",1967,"Observed",63.7468071,"hist"
"9",1968,"Observed",63.77086639,"hist"
"10",1969,"Observed",63.8346405,"hist"
"11",1970,"Observed",63.40125656,"hist"
"12",1971,"Observed",62.32136536,"hist"
"13",1972,"Observed",63.34639359,"hist"
"14",1973,"Observed",63.0569458,"hist"
"15",1974,"Observed",64.58860779,"hist"
"16",1975,"Observed",62.07388306,"hist"
"17",1976,"Observed",64.46325684,"hist"
"18",1977,"Observed",64.86676025,"hist"
"19",1978,"Observed",63.14242554,"hist"
"20",1979,"Observed",64.04711914,"hist"
"21",1980,"Observed",64.43521118,"hist"
"22",1981,"Observed",66.13949585,"hist"
"23",1982,"Observed",61.08689117,"hist"
"24",1983,"Observed",61.94887543,"hist"
"25",1984,"Observed",61.99925613,"hist"
"26",1985,"Observed",62.75578308,"hist"
"27",1986,"Observed",65.41249847,"hist"
"28",1987,"Observed",64.17486572,"hist"
"29",1988,"Observed",64.60919189,"hist"
"30",1989,"Observed",64.31231689,"hist"
"31",1990,"Observed",63.98265839,"hist"
"32",1991,"Observed",63.27310944,"hist"
"33",1960,"ACCESS1.0",63.04933929,"hist"
"34",1961,"ACCESS1.0",64.56440735,"hist"
"35",1962,"ACCESS1.0",62.45327759,"hist"
"36",1963,"ACCESS1.0",66.41423035,"hist"
"37",1964,"ACCESS1.0",64.79000854,"hist"
"38",1965,"ACCESS1.0",63.51636887,"hist"
"39",1966,"ACCESS1.0",61.48384094,"hist"
"40",1967,"ACCESS1.0",65.2588501,"hist"
"41",1968,"ACCESS1.0",60.45793915,"hist"
"42",1969,"ACCESS1.0",61.91532898,"hist"
"43",1970,"ACCESS1.0",66.03691101,"hist"
"44",1971,"ACCESS1.0",63.17837524,"hist"
"45",1972,"ACCESS1.0",64.68135834,"hist"
"46",1973,"ACCESS1.0",63.28752136,"hist"
"47",1974,"ACCESS1.0",63.48401642,"hist"
"48",1975,"ACCESS1.0",63.69528198,"hist"
"49",1976,"ACCESS1.0",61.13519287,"hist"
"50",1977,"ACCESS1.0",65.68281555,"hist"
"51",1978,"ACCESS1.0",62.78852463,"hist"
"52",1979,"ACCESS1.0",62.18196869,"hist"
"53",1980,"ACCESS1.0",63.55355835,"hist"
"54",1981,"ACCESS1.0",65.301651,"hist"
"55",1982,"ACCESS1.0",62.25585175,"hist"
"56",1983,"ACCESS1.0",64.61477661,"hist"
"57",1984,"ACCESS1.0",61.46615601,"hist"
"58",1985,"ACCESS1.0",65.66282654,"hist"
"59",1986,"ACCESS1.0",63.82212067,"hist"
"60",1987,"ACCESS1.0",64.1710434,"hist"
"61",1988,"ACCESS1.0",63.53295898,"hist"
"62",1989,"ACCESS1.0",64.45723724,"hist"
"63",1990,"ACCESS1.0",64.94398499,"hist"
"64",1991,"ACCESS1.0",64.15087891,"hist"
"65",1960,"CanESM2",64.2285614,"hist"
"66",1961,"CanESM2",63.04598999,"hist"
"67",1962,"CanESM2",64.98606873,"hist"
"68",1963,"CanESM2",65.68605804,"hist"
"69",1964,"CanESM2",62.54984665,"hist"
"70",1965,"CanESM2",60.74578094,"hist"
"71",1966,"CanESM2",61.68588257,"hist"
"72",1967,"CanESM2",65.30604553,"hist"
"73",1968,"CanESM2",62.4438858,"hist"
"74",1969,"CanESM2",63.75773621,"hist"
"75",1970,"CanESM2",62.40037537,"hist"
"76",1971,"CanESM2",62.39081955,"hist"
"77",1972,"CanESM2",64.20191956,"hist"
"78",1973,"CanESM2",62.19273376,"hist"
"79",1974,"CanESM2",63.91929245,"hist"
"80",1975,"CanESM2",64.35110474,"hist"
"81",1976,"CanESM2",64.81445313,"hist"
"82",1977,"CanESM2",62.05936432,"hist"
"83",1978,"CanESM2",64.94728088,"hist"
"84",1979,"CanESM2",64.99517822,"hist"
"85",1980,"CanESM2",66.53590393,"hist"
"86",1981,"CanESM2",65.50006104,"hist"
"87",1982,"CanESM2",62.63548279,"hist"
"88",1983,"CanESM2",63.25450897,"hist"
"89",1984,"CanESM2",64.01965332,"hist"
"90",1985,"CanESM2",63.38068771,"hist"
"91",1986,"CanESM2",64.21443939,"hist"
"92",1987,"CanESM2",63.80635071,"hist"
"93",1988,"CanESM2",63.3093338,"hist"
"94",1989,"CanESM2",63.77526093,"hist"
"95",1990,"CanESM2",64.04969788,"hist"
"96",1991,"CanESM2",65.81361389,"hist"
"97",1960,"CCSM4",62.78665924,"hist"
"98",1961,"CCSM4",61.97888947,"hist"
"99",1962,"CCSM4",62.56588745,"hist"
"100",1963,"CCSM4",62.54600143,"hist"
"101",1964,"CCSM4",62.8138504,"hist"
"102",1965,"CCSM4",60.73429871,"hist"
"103",1966,"CCSM4",65.28137207,"hist"
"104",1967,"CCSM4",65.14321899,"hist"
"105",1968,"CCSM4",63.01478577,"hist"
"106",1969,"CCSM4",62.74650192,"hist"
"107",1970,"CCSM4",64.38632202,"hist"
"108",1971,"CCSM4",63.66083908,"hist"
"109",1972,"CCSM4",63.32960129,"hist"
"110",1973,"CCSM4",64.94178772,"hist"
"111",1974,"CCSM4",62.23893356,"hist"
"112",1975,"CCSM4",64.21652222,"hist"
"113",1976,"CCSM4",63.24857712,"hist"
"114",1977,"CCSM4",65.13768005,"hist"
"115",1978,"CCSM4",64.73991394,"hist"
"116",1979,"CCSM4",63.13953781,"hist"
"117",1980,"CCSM4",64.50502777,"hist"
"118",1981,"CCSM4",66.97480774,"hist"
"119",1982,"CCSM4",64.09106445,"hist"
"120",1983,"CCSM4",63.32844543,"hist"
"121",1984,"CCSM4",61.65605164,"hist"
"122",1985,"CCSM4",64.83137512,"hist"
"123",1986,"CCSM4",67.2888031,"hist"
"124",1987,"CCSM4",65.09010315,"hist"
"125",1988,"CCSM4",64.32292938,"hist"
"126",1989,"CCSM4",64.94360352,"hist"
"127",1990,"CCSM4",65.86321259,"hist"
"128",1991,"CCSM4",64.34929657,"hist"
"129",1960,"CESM1.BGC",64.21795654,"hist"
"130",1961,"CESM1.BGC",63.5452652,"hist"
"131",1962,"CESM1.BGC",64.10018158,"hist"
"132",1963,"CESM1.BGC",62.87575531,"hist"
"133",1964,"CESM1.BGC",62.95914459,"hist"
"134",1965,"CESM1.BGC",61.19419098,"hist"
"135",1966,"CESM1.BGC",62.88492966,"hist"
"136",1967,"CESM1.BGC",64.79204559,"hist"
"137",1968,"CESM1.BGC",64.41631317,"hist"
"138",1969,"CESM1.BGC",60.90090942,"hist"
"139",1970,"CESM1.BGC",63.57778168,"hist"
"140",1971,"CESM1.BGC",62.01563644,"hist"
"141",1972,"CESM1.BGC",63.04856873,"hist"
"142",1973,"CESM1.BGC",63.1041069,"hist"
"143",1974,"CESM1.BGC",63.7275238,"hist"
"144",1975,"CESM1.BGC",63.33443451,"hist"
"145",1976,"CESM1.BGC",62.37483215,"hist"
"146",1977,"CESM1.BGC",66.18022156,"hist"
"147",1978,"CESM1.BGC",62.94139862,"hist"
"148",1979,"CESM1.BGC",65.42803955,"hist"
"149",1980,"CESM1.BGC",63.98905563,"hist"
"150",1981,"CESM1.BGC",64.07216644,"hist"
"151",1982,"CESM1.BGC",63.55729294,"hist"
"152",1983,"CESM1.BGC",64.55644226,"hist"
"153",1984,"CESM1.BGC",64.28964233,"hist"
"154",1985,"CESM1.BGC",65.30944824,"hist"
"155",1986,"CESM1.BGC",64.18692017,"hist"
"156",1987,"CESM1.BGC",63.69830322,"hist"
"157",1988,"CESM1.BGC",65.96038818,"hist"
"158",1989,"CESM1.BGC",64.59901428,"hist"
"159",1990,"CESM1.BGC",64.24053192,"hist"
"160",1991,"CESM1.BGC",65.39425659,"hist"
"161",1960,"CMCC.CMS",62.58763886,"hist"
"162",1961,"CMCC.CMS",64.99737549,"hist"
"163",1962,"CMCC.CMS",63.76652527,"hist"
"164",1963,"CMCC.CMS",65.27154541,"hist"
"165",1964,"CMCC.CMS",62.40631104,"hist"
"166",1965,"CMCC.CMS",63.49000168,"hist"
"167",1966,"CMCC.CMS",65.47045136,"hist"
"168",1967,"CMCC.CMS",60.20080566,"hist"
"169",1968,"CMCC.CMS",62.64004517,"hist"
"170",1969,"CMCC.CMS",63.11267853,"hist"
"171",1970,"CMCC.CMS",63.74279785,"hist"
"172",1971,"CMCC.CMS",63.80509186,"hist"
"173",1972,"CMCC.CMS",61.38578796,"hist"
"174",1973,"CMCC.CMS",66.55722046,"hist"
"175",1974,"CMCC.CMS",66.4380188,"hist"
"176",1975,"CMCC.CMS",64.40895081,"hist"
"177",1976,"CMCC.CMS",63.94071579,"hist"
"178",1977,"CMCC.CMS",62.62543488,"hist"
"179",1978,"CMCC.CMS",63.86408615,"hist"
"180",1979,"CMCC.CMS",63.53367233,"hist"
"181",1980,"CMCC.CMS",63.83453369,"hist"
"182",1981,"CMCC.CMS",62.56808472,"hist"
"183",1982,"CMCC.CMS",62.91113281,"hist"
"184",1983,"CMCC.CMS",63.32899475,"hist"
"185",1984,"CMCC.CMS",62.81813049,"hist"
"186",1985,"CMCC.CMS",64.53606415,"hist"
"187",1986,"CMCC.CMS",65.65847778,"hist"
"188",1987,"CMCC.CMS",65.55587006,"hist"
