boundary,states,,,,,,,,,,,,
feature,State of Nevada,,,,,,,,,,,,
center,"-117.0227, 38.502",,,,,,,,,,,,
scenario,Medium (RCP 4.5),,,,,,,,,,,,
climate indicator,Maximum Temperature,,,,,,,,,,,,
units,°F,,,,,,,,,,,,
,,,,,CanESM2 (Average),,,,CNRM-CM5 (Cool/Wet),,,HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
year,ModeledRCP4.5RangeMin,ModeledRCP4.5RangeMax,Observed,ACCESS1-0,CanESM2,CCSM4,CESM1-BGC,CMCC-CMS,CNRM-CM5,GFDL-CM3,HadGEM2-CC,HadGEM2-ES,MIROC5
1950,61.11036301,65.96840668,65.40771484,63.51158905,65.77323914,64.04464722,63.05538177,62.28089905,62.45410156,64.35275269,63.58003235,64.79573059,64.18411255
1951,60.95314789,66.60671234,63.64368057,64.12187958,63.36536407,62.73287964,63.38903809,62.13280487,62.59889984,65.27654266,64.90591431,64.94546509,65.28253174
1952,61.23659515,65.72445679,63.14478302,64.46443176,63.98757172,62.50721741,64.8142395,62.51348114,64.80451965,65.71813965,64.15681458,61.73724365,64.59841156
1953,61.60002136,68.19835663,65.02192688,66.06304932,62.9644165,63.38590622,63.77196503,64.59319305,62.09138489,65.04093933,64.94140625,63.92396164,65.3192749
1954,61.01077271,66.19950867,65.76913452,64.45910645,62.39131165,64.26348877,64.77716064,63.15975189,62.85795593,64.76281738,65.45704651,64.09468842,65.00320435
1955,61.8049736,67.49078369,62.57167053,62.81610107,63.01978683,62.24398804,64.20114136,62.89838791,63.38184357,65.69017792,65.72093964,62.66833496,64.5632019
1956,60.75067139,65.74005127,64.48167419,62.09814453,63.44649506,63.52372742,63.71500397,62.97419357,64.43224335,63.01220703,65.60415649,64.86686707,63.75708008
1957,61.29987717,66.53035736,63.03561401,64.0668335,63.59590912,63.5943718,61.51251984,63.17051697,63.41957855,62.71430969,64.39175415,63.33031464,65.99839783
1958,60.31451416,66.71783447,65.96990967,64.75271606,63.37821579,63.92297363,62.09248352,62.86273956,63.55690765,63.4797821,62.4754715,63.30092621,64.61186981
1959,60.77357483,67.19563293,65.87754822,64.2461853,65.18766785,62.1371994,63.76966095,64.97315979,63.01907349,63.76586914,63.61810303,61.58332443,65.33454895
1960,60.91546631,66.23614502,64.98364258,63.04933929,64.2285614,62.78665924,64.21795654,62.58763886,64.16252899,62.24332809,62.83103943,64.19619751,64.10182953
1961,61.52487946,66.41021729,64.6078186,64.56440735,63.04598999,61.97888947,63.5452652,64.99737549,63.19947052,64.2711792,61.8007431,63.73796082,63.82074738
1962,61.64440918,66.76277161,64.60528564,62.45327759,64.98606873,62.56588745,64.10018158,63.76652527,63.54630661,62.69777679,64.10919189,63.46522522,65.92451477
1963,61.43814087,66.74107361,64.26570129,66.41423035,65.68605804,62.54600143,62.87575531,65.27154541,62.61005402,62.25469971,62.02481079,62.18988037,66.36791992
1964,60.7323761,65.61437225,62.76147461,64.79000854,62.54984665,62.8138504,62.95914459,62.40631104,61.63781738,65.52323914,63.59975433,62.76611328,64.6264801
1965,60.44409943,65.88557434,62.81739426,63.51636887,60.74578094,60.73429871,61.19419098,63.49000168,62.8624649,60.98638153,61.15584564,64.72865295,63.76399994
1966,60.80532837,66.16978455,65.28959656,61.48384094,61.68588257,65.28137207,62.88492966,65.47045136,63.26714325,65.48313904,63.00050354,65.89337158,61.05751801
1967,60.15361786,65.66056824,63.7468071,65.2588501,65.30604553,65.14321899,64.79204559,60.20080566,61.85298157,60.46914673,61.0140152,61.53020477,64.36528015
1968,60.39498901,67.21672821,63.77086639,60.45793915,62.4438858,63.01478577,64.41631317,62.64004517,63.28554535,64.10814667,63.01847076,62.35456467,64.5584259
1969,60.65476227,66.18758392,63.8346405,61.91532898,63.75773621,62.74650192,60.90090942,63.11267853,63.82777405,61.00802612,64.10775757,61.33744812,63.54163742
1970,59.99860382,66.12171936,63.40125656,66.03691101,62.40037537,64.38632202,63.57778168,63.74279785,63.8072319,61.92384338,64.58204651,63.80234528,63.69550323
1971,59.67868042,66.2016449,62.32136536,63.17837524,62.39081955,63.66083908,62.01563644,63.80509186,64.85241699,64.11386108,62.1055603,63.99158478,59.67900848
1972,61.09619141,66.24647522,63.34639359,64.68135834,64.20191956,63.32960129,63.04856873,61.38578796,62.92991638,64.04382324,63.41024017,66.21966553,63.74213791
1973,61.49186325,66.57304382,63.0569458,63.28752136,62.19273376,64.94178772,63.1041069,66.55722046,62.91497803,65.45611572,63.61513519,64.44943237,63.96961212
1974,61.09168625,66.66274261,64.58860779,63.48401642,63.91929245,62.23893356,63.7275238,66.4380188,61.11261749,63.94532776,65.72566223,64.7618866,62.50936127
1975,60.82658386,65.81245422,62.07388306,63.69528198,64.35110474,64.21652222,63.33443451,64.40895081,63.38172913,62.21113586,61.83974457,65.05999756,63.11190796
1976,60.78862762,67.10066223,64.46325684,61.13519287,64.81445313,63.24857712,62.37483215,63.94071579,63.86051559,65.31394959,67.08786011,63.20161057,61.23368454
1977,61.74092102,66.62203979,64.86676025,65.68281555,62.05936432,65.13768005,66.18022156,62.62543488,63.62150574,64.21663666,63.15700531,63.55553436,64.64801025
1978,61.38084412,66.35369873,63.14242554,62.78852463,64.94728088,64.73991394,62.94139862,63.86408615,64.38824463,63.10696411,65.55351257,63.79910278,64.43125916
1979,60.77280808,66.59715271,64.04711914,62.18196869,64.99517822,63.13953781,65.42803955,63.53367233,63.30169678,64.34451294,64.60577393,62.20575714,63.49510956
1980,61.38825989,66.92119598,64.43521118,63.55355835,66.53590393,64.50502777,63.98905563,63.83453369,66.17500305,63.10350037,63.42820358,64.09221649,63.95378876
1981,62.27694702,66.97711182,66.13949585,65.301651,65.50006104,66.97480774,64.07216644,62.56808472,63.40738678,64.88691711,64.77166748,62.71348572,62.82428741
1982,61.76756287,66.56590271,61.08689117,62.25585175,62.63548279,64.09106445,63.55729294,62.91113281,63.21380615,62.63163757,64.33380127,63.49263763,63.19046021
1983,59.81348419,65.9322052,61.94887543,64.61477661,63.25450897,63.32844543,64.55644226,63.32899475,63.25357819,61.92236328,62.87400055,63.26945114,61.27889252
1984,61.12244797,67.71270752,61.99925613,61.46615601,64.01965332,61.65605164,64.28964233,62.81813049,65.09059906,63.73466492,65.82151794,64.17988586,64.36973572
1985,61.68209076,66.3578186,62.75578308,65.66282654,63.38068771,64.83137512,65.30944824,64.53606415,62.42921448,64.29283142,63.79069519,62.49694824,61.92675781
1986,62.20855713,67.37905121,65.41249847,63.82212067,64.21443939,67.2888031,64.18692017,65.65847778,65.47457123,65.30828857,63.54229736,67.19024658,62.83301926
1987,61.61765671,68.76568604,64.17486572,64.1710434,63.80635071,65.09010315,63.69830322,65.55587006,64.18774414,63.18348312,63.99131012,64.68014526,62.18543243
1988,62.03497314,66.50822449,64.60919189,63.53295898,63.3093338,64.32292938,65.96038818,65.1337738,64.71228027,65.84096527,66.46136475,63.8714447,65.68067932
1989,61.47648239,66.7966156,64.31231689,64.45723724,63.77526093,64.94360352,64.59901428,64.31985474,64.09161377,63.37360382,63.75971603,63.73829269,65.17519379
1990,61.84529114,66.85395813,63.98265839,64.94398499,64.04969788,65.86321259,64.24053192,66.52178955,66.25734711,64.89021301,63.50944519,64.32414246,63.36684418
1991,62.0819397,66.83699036,63.27310944,64.15087891,65.81361389,64.34929657,65.39425659,64.87801361,65.31060028,65.40261078,64.96228027,64.1950531,64.3555603
1992,61.04560089,66.63461304,64.78399658,63.00748444,61.07756805,62.7365036,63.67835999,65.204422,66.50239563,63.15535736,63.86271286,63.98175049,64.89707947
1993,61.05861664,67.02902222,61.7875824,64.37374115,64.79078674,64.53100586,61.74900055,62.68843842,62.75556564,63.01725769,61.57343674,63.35058594,61.30284119
1994,62.17697144,67.1893158,64.62408447,65.73565674,62.6879425,64.83154297,64.462677,65.49945068,65.4319458,65.78395081,66.24977112,63.74549103,65.52291107
1995,61.61277008,66.43257904,64.46656036,64.72283173,63.60766602,64.48876953,63.37942505,64.80621338,64.079422,62.70821381,65.48495483,65.36871338,63.97493744
1996,62.11314011,67.10400391,65.19534302,64.81962585,66.02981567,64.93382263,66.95503235,65.86013794,65.80328369,64.34512329,64.14341736,62.33577728,63.60799408
1997,61.85303879,67.64311218,63.9817009,64.00361633,63.76823044,64.09770966,66.54173279,64.50546265,64.23388672,61.89588547,64.79055786,65.7175293,65.25012207
1998,62.11577606,68.80705261,61.89308929,63.93308258,66.27624512,63.42084503,66.3162384,66.2591095,66.7348175,65.83865356,64.99584198,65.53851318,64.56594849
1999,60.78637695,67.04281616,64.94425964,65.63700867,66.32507324,66.08343506,64.43169403,65.91841888,64.52178192,63.93978119,64.28755188,65.29588318,63.80904388
2000,61.89692688,67.83843994,65.10083008,63.07081604,65.4550705,63.76262665,64.52837372,64.8572998,65.51763916,65.6929245,63.31218719,64.2469635,65.12158203
2001,61.88385773,67.0962677,65.31962585,63.81388092,65.90962982,65.51121521,65.55861664,64.3249054,64.69085693,65.34152222,63.93483734,64.95024872,66.04377747
2002,63.29038239,67.94210052,65.05612183,67.8140564,66.2723999,67.07033539,64.02300262,63.42567444,66.04766846,66.02553558,64.74633789,67.429039,65.19694519
2003,62.55330658,68.09211731,65.76551819,66.01361084,64.31298828,63.95730591,66.21504974,65.25105286,64.01190186,64.98336792,65.33740234,65.83789063,62.95787811
2004,62.43806076,67.90843201,63.74957275,64.19515991,65.60289001,67.81097412,66.76342773,65.2780304,64.98995972,66.08859253,64.88279724,64.44108582,65.72401428
2005,61.83304596,69.12395477,63.29467011,65.34416199,64.78567505,63.5599823,63.90709686,63.25917816,69.12395477,66.2035675,63.05411911,66.10930634,64.67152405
2006,62.58769226,70.19402313,64.35341644,65.50709534,64.93041992,64.37983704,67.56758118,63.03434372,67.4908905,65.52636719,67.4960556,66.49920654,66.641922
2007,62.7742424,68.65440369,,64.85829163,66.79414368,65.55509949,65.92842102,65.1153717,68.3563385,64.57989502,67.70491028,65.94549561,68.3710022
2008,62.57682037,68.65879822,,67.49342346,66.71037292,64.12281799,67.40997314,66.92559052,65.18684387,66.00340271,64.60390472,66.18780518,67.0793457
2009,62.79072189,68.82814789,,66.24086761,67.53160095,68.40885925,65.86128998,65.90924072,65.72890472,64.35314178,67.23787689,64.962883,66.5546875
2010,62.9483757,68.42500305,,66.90916443,67.05940247,65.87568665,67.08187103,63.9034729,67.6381073,66.02130127,67.77928162,66.43955994,66.21060181
2011,63.7001152,68.81622314,,66.51728821,66.68455505,67.28259277,67.39470673,65.83613586,66.13111877,65.8656311,65.04660034,64.26519775,66.40994263
2012,63.87825775,68.55601501,,68.22422791,66.97200775,67.47622681,66.86302185,66.04322815,67.94380188,66.05827332,66.17324829,67.08830261,67.16091919
2013,60.68755341,69.39790344,,68.08041382,67.97154236,67.3690033,66.13314819,64.21789551,66.55903625,65.80960083,66.32024384,65.00298309,67.03990173
2014,62.96930695,68.79606628,,66.77468872,66.19367981,66.95613098,67.3686676,63.45391083,66.65489197,65.63948059,65.90276337,65.86003113,65.90374756
2015,63.23731613,69.94090271,,64.92173767,65.7661438,67.70172119,66.59204102,66.35787201,65.93714905,68.75041962,65.80130005,66.50163269,65.74176025
2016,63.18980026,68.54200745,,68.12953186,66.3681488,64.90834045,67.14152527,67.54692078,65.37706757,65.50109863,65.88018799,65.98861694,65.50615692
2017,62.96556854,69.85921478,,67.60372162,67.2147522,67.37619019,67.5545578,66.30453491,67.09780121,69.80565643,67.20228577,65.51780701,67.47441101
2018,63.33784103,69.65821838,,67.30796814,69.50023651,65.63524628,64.64647675,66.83665466,63.92055511,64.23723602,66.29777527,65.41096497,66.06678772
2019,64.19603729,69.97627258,,67.18261719,67.02304077,66.46922302,68.71153259,68.26751709,66.58276367,65.82371521,68.42802429,67.4621582,66.10760498
2020,62.56159973,70.77975464,,69.73413086,68.14315033,66.36715698,67.13829041,66.24613953,64.59747314,70.35162354,67.68067932,67.44540405,66.10095215
2021,63.71412277,69.43959045,,66.54040527,68.30739594,66.26481628,67.57493591,66.44356537,65.31576538,69.43953705,64.38999939,68.08096313,65.79734802
2022,63.20803833,70.0375824,,68.01071167,66.53414917,63.9903717,65.80075073,68.83924866,66.36485291,67.27632904,66.31529999,67.31999969,68.60644531
2023,63.27790833,70.95910645,,68.79397583,68.8132019,65.86611938,68.5083313,64.01152039,66.30804443,67.64700317,68.47883606,66.46043396,66.63604736
2024,63.74653244,70.16062927,,68.82720947,68.14232636,69.71321106,67.71572876,64.29145813,66.42697144,68.51597595,67.02529144,67.20239258,68.637146
2025,63.57086182,69.3119812,,67.02984619,68.25866699,66.53601074,68.49943542,66.01586914,65.77571106,67.75753021,66.45120239,68.7711792,67.96989441
2026,62.9794693,70.90176392,,70.47999573,69.05050659,66.21598816,67.50665283,66.20785522,66.48828125,68.33161926,68.95982361,69.86322021,67.77120972
2027,63.47385406,69.48815155,,65.54335022,67.93418884,68.17764282,66.75645447,66.65917206,67.03347778,68.8500061,68.33634949,68.13320923,66.38363647
2028,64.2620697,70.00615692,,67.49655151,66.99914551,66.16868591,67.75318909,64.87658691,65.76730347,69.26869965,67.63343811,66.48432922,67.17772675
2029,64.86444092,70.15325928,,67.92155457,67.9212265,66.56639099,68.12722015,67.83163452,66.46800995,69.0863266,66.45592499,65.73544312,67.88711548
2030,63.99163818,71.11116028,,66.45027161,68.84407806,68.96794891,66.36846924,64.61148071,66.94366455,67.49078369,67.58932495,67.44447327,67.78147888
2031,64.60780334,69.88954163,,67.96594238,69.66673279,66.92042542,68.90054321,66.1147995,66.5064621,67.59147644,68.95245361,68.06432343,68.44944763
2032,62.89530945,70.48873138,,68.89582825,68.93624878,69.24667358,66.03173828,67.9598999,64.25756073,69.66404724,66.32628632,67.0259552,68.37413788
2033,63.91539001,70.58563232,,65.45452118,68.47065735,66.39071655,67.77285767,69.64585876,68.72212982,67.56938934,66.67427826,66.10738373,66.90345764
2034,63.49939728,70.4826889,,68.64039612,69.03034973,67.745224,69.41531372,68.48806763,66.40950775,69.11434174,63.82904053,69.19179535,69.29353333
2035,64.71887207,70.78201294,,69.24633789,67.64233398,68.66621399,67.48138428,66.43120575,65.33526611,67.94462585,67.17360687,67.04934692,69.92689514
2036,64.84450531,70.40446472,,70.07784271,69.43969727,67.10362244,68.07876587,66.95800018,65.98609924,68.87890625,69.28952026,67.87002563,68.02147675
2037,64.1917572,72.49560547,,68.30041504,68.61281586,71.9747467,65.29867554,69.30451965,67.26039886,67.22068787,68.88999939,67.56087494,68.91290283
2038,65.22891235,71.45019531,,65.8155365,69.76280975,69.50001526,68.51371765,67.3601532,65.47994995,68.86236572,66.16885376,67.8480072,68.48521423
2039,64.79100037,70.36079407,,66.69306946,69.33934021,66.45449829,67.3918457,67.86244965,65.72775269,69.22750092,66.25393677,68.5691452,69.15290833
2040,65.45732117,69.73490906,,66.86367798,67.57218933,65.9506073,66.63516235,66.82231903,67.1448822,69.53786469,67.61531067,67.42211914,66.75267029
2041,63.80602264,71.33731079,,67.85338593,69.35274506,69.03034973,67.34037781,67.9683075,66.52019501,68.83956909,68.85012054,69.36938477,70.6762085
2042,65.15937805,72.65111542,,66.67180634,67.41711426,68.69087219,67.5692749,66.90554047,69.31846619,67.56054688,68.25592041,67.20376587,69.97555542
2043,64.90312195,71.62010193,,67.99581909,69.66470337,68.11601257,68.95817566,68.0901413,68.06471252,69.00469971,70.0375824,69.31209564,66.49487305
2044,64.38378906,71.89372253,,68.96229553,68.65005493,71.57797241,68.06926727,67.75830078,66.49717712,70.27296448,67.9551239,70.17622375,66.92053223
2045,65.05885315,72.45358276,,68.21440125,69.73138428,68.10387421,68.1604538,67.31510925,65.3785553,71.93167114,69.37037659,67.0892868,70.37227631
2046,65.52131653,73.1272583,,66.83830261,68.84786987,71.32506561,67.35372925,67.16075134,66.49432373,70.99514771,70.18001556,68.56376648,68.82622528
2047,64.24937439,72.19738007,,70.73949432,68.86390686,69.88766479,67.74006653,65.90072632,68.93032074,69.28479004,70.73274231,69.54577637,69.79180908
2048,65.60766602,72.23121643,,69.8427887,68.55975342,67.40816498,69.11357117,68.66280365,68.41275024,68.47087097,69.7960434,68.94597626,67.91024017
2049,65.12992859,71.45959473,,68.8168869,69.32363129,67.68431091,69.48304749,66.28085327,67.51402283,69.67266846,67.77828979,69.63976288,68.05047607
2050,64.94277954,71.84411621,,69.6322937,68.57376099,69.81933594,68.63023376,65.62057495,68.39578247,71.45019531,69.05513,67.86723328,71.6142807
2051,65.24841309,71.59049988,,69.9466095,69.41404724,69.29693604,69.30819702,71.57165527,67.17454529,70.49532318,68.84138489,69.758255,69.51072693
2052,65.83174133,72.76641846,,68.27734375,68.34507751,67.17756653,69.65179443,67.88069153,70.2348938,72.40304565,68.78617859,69.13626099,69.08006287
2053,65.97906494,71.83400726,,69.49941254,70.39974213,68.86605072,69.49963379,68.30311584,68.34431458,69.89311218,67.31950378,68.35733032,70.11146545
2054,64.40098572,71.8682251,,69.76626587,70.07592011,70.55992126,68.23181152,69.91485596,68.86764526,71.25804901,70.1282196,69.43344116,69.39504242
2055,66.04476166,72.76295471,,68.52668762,70.83869934,69.32131958,67.81416321,70.30822754,67.04412842,70.72982788,68.61100769,68.68230438,69.16197205
2056,64.68602753,72.83305359,,68.3529892,69.61289978,69.71902466,68.71910858,67.22238159,66.26031494,71.4151535,70.94384003,69.16817474,69.86190796
