"","year","model","temp","scenario","tempC"
"1",1960,"Observed",64.98364258,"hist",18.3242458777778
"2",1961,"Observed",64.6078186,"hist",18.1154547777778
"3",1962,"Observed",64.60528564,"hist",18.1140475777778
"4",1963,"Observed",64.26570129,"hist",17.9253896055556
"5",1964,"Observed",62.76147461,"hist",17.0897081166667
"6",1965,"Observed",62.81739426,"hist",17.1207745888889
"7",1966,"Observed",65.28959656,"hist",18.4942203111111
"8",1967,"Observed",63.7468071,"hist",17.6371150555556
"9",1968,"Observed",63.77086639,"hist",17.6504813277778
"10",1969,"Observed",63.8346405,"hist",17.6859113888889
"11",1970,"Observed",63.40125656,"hist",17.4451425333333
"12",1971,"Observed",62.32136536,"hist",16.8452029777778
"13",1972,"Observed",63.34639359,"hist",17.4146631055556
"14",1973,"Observed",63.0569458,"hist",17.2538587777778
"15",1974,"Observed",64.58860779,"hist",18.1047821055556
"16",1975,"Observed",62.07388306,"hist",16.7077128111111
"17",1976,"Observed",64.46325684,"hist",18.0351426888889
"18",1977,"Observed",64.86676025,"hist",18.25931125
"19",1978,"Observed",63.14242554,"hist",17.3013475222222
"20",1979,"Observed",64.04711914,"hist",17.8039550777778
"21",1980,"Observed",64.43521118,"hist",18.0195617666667
"22",1981,"Observed",66.13949585,"hist",18.9663865833333
"23",1982,"Observed",61.08689117,"hist",16.1593839833333
"24",1983,"Observed",61.94887543,"hist",16.6382641277778
"25",1984,"Observed",61.99925613,"hist",16.6662534055556
"26",1985,"Observed",62.75578308,"hist",17.0865461555556
"27",1986,"Observed",65.41249847,"hist",18.56249915
"28",1987,"Observed",64.17486572,"hist",17.8749254
"29",1988,"Observed",64.60919189,"hist",18.1162177166667
"30",1989,"Observed",64.31231689,"hist",17.9512871611111
"31",1990,"Observed",63.98265839,"hist",17.76814355
"32",1991,"Observed",63.27310944,"hist",17.3739496888889
"33",1960,"ACCESS1.0",63.04933929,"hist",17.2496329388889
"34",1961,"ACCESS1.0",64.56440735,"hist",18.0913374166667
"35",1962,"ACCESS1.0",62.45327759,"hist",16.91848755
"36",1963,"ACCESS1.0",66.41423035,"hist",19.1190168611111
"37",1964,"ACCESS1.0",64.79000854,"hist",18.2166714111111
"38",1965,"ACCESS1.0",63.51636887,"hist",17.5090938166667
"39",1966,"ACCESS1.0",61.48384094,"hist",16.3799116333333
"40",1967,"ACCESS1.0",65.2588501,"hist",18.4771389444444
"41",1968,"ACCESS1.0",60.45793915,"hist",15.8099661944444
"42",1969,"ACCESS1.0",61.91532898,"hist",16.6196272111111
"43",1970,"ACCESS1.0",66.03691101,"hist",18.9093950055556
"44",1971,"ACCESS1.0",63.17837524,"hist",17.3213195777778
"45",1972,"ACCESS1.0",64.68135834,"hist",18.1563101888889
"46",1973,"ACCESS1.0",63.28752136,"hist",17.3819563111111
"47",1974,"ACCESS1.0",63.48401642,"hist",17.4911202333333
"48",1975,"ACCESS1.0",63.69528198,"hist",17.6084899888889
"49",1976,"ACCESS1.0",61.13519287,"hist",16.1862182611111
"50",1977,"ACCESS1.0",65.68281555,"hist",18.7126753055556
"51",1978,"ACCESS1.0",62.78852463,"hist",17.1047359055556
"52",1979,"ACCESS1.0",62.18196869,"hist",16.7677603833333
"53",1980,"ACCESS1.0",63.55355835,"hist",17.5297546388889
"54",1981,"ACCESS1.0",65.301651,"hist",18.5009172222222
"55",1982,"ACCESS1.0",62.25585175,"hist",16.8088065277778
"56",1983,"ACCESS1.0",64.61477661,"hist",18.1193203388889
"57",1984,"ACCESS1.0",61.46615601,"hist",16.3700866722222
"58",1985,"ACCESS1.0",65.66282654,"hist",18.7015703
"59",1986,"ACCESS1.0",63.82212067,"hist",17.6789559277778
"60",1987,"ACCESS1.0",64.1710434,"hist",17.8728018888889
"61",1988,"ACCESS1.0",63.53295898,"hist",17.5183105444444
"62",1989,"ACCESS1.0",64.45723724,"hist",18.0317984666667
"63",1990,"ACCESS1.0",64.94398499,"hist",18.3022138833333
"64",1991,"ACCESS1.0",64.15087891,"hist",17.8615993944444
"65",1960,"CanESM2",64.2285614,"hist",17.9047563333333
"66",1961,"CanESM2",63.04598999,"hist",17.2477722166667
"67",1962,"CanESM2",64.98606873,"hist",18.3255937388889
"68",1963,"CanESM2",65.68605804,"hist",18.7144766888889
"69",1964,"CanESM2",62.54984665,"hist",16.9721370277778
"70",1965,"CanESM2",60.74578094,"hist",15.9698783
"71",1966,"CanESM2",61.68588257,"hist",16.4921569833333
"72",1967,"CanESM2",65.30604553,"hist",18.5033586277778
"73",1968,"CanESM2",62.4438858,"hist",16.9132698888889
"74",1969,"CanESM2",63.75773621,"hist",17.6431867833333
"75",1970,"CanESM2",62.40037537,"hist",16.8890974277778
"76",1971,"CanESM2",62.39081955,"hist",16.8837886388889
"77",1972,"CanESM2",64.20191956,"hist",17.8899553111111
"78",1973,"CanESM2",62.19273376,"hist",16.7737409777778
"79",1974,"CanESM2",63.91929245,"hist",17.73294025
"80",1975,"CanESM2",64.35110474,"hist",17.9728359666667
"81",1976,"CanESM2",64.81445313,"hist",18.2302517388889
"82",1977,"CanESM2",62.05936432,"hist",16.6996468444444
"83",1978,"CanESM2",64.94728088,"hist",18.3040449333333
"84",1979,"CanESM2",64.99517822,"hist",18.3306545666667
"85",1980,"CanESM2",66.53590393,"hist",19.1866132944444
"86",1981,"CanESM2",65.50006104,"hist",18.6111450222222
"87",1982,"CanESM2",62.63548279,"hist",17.0197126611111
"88",1983,"CanESM2",63.25450897,"hist",17.3636160944444
"89",1984,"CanESM2",64.01965332,"hist",17.7886962888889
"90",1985,"CanESM2",63.38068771,"hist",17.4337153944444
"91",1986,"CanESM2",64.21443939,"hist",17.8969107722222
"92",1987,"CanESM2",63.80635071,"hist",17.6701948388889
"93",1988,"CanESM2",63.3093338,"hist",17.3940743333333
"94",1989,"CanESM2",63.77526093,"hist",17.6529227388889
"95",1990,"CanESM2",64.04969788,"hist",17.8053877111111
"96",1991,"CanESM2",65.81361389,"hist",18.78534105
"97",1960,"CCSM4",62.78665924,"hist",17.1036995777778
"98",1961,"CCSM4",61.97888947,"hist",16.6549385944444
"99",1962,"CCSM4",62.56588745,"hist",16.9810485833333
"100",1963,"CCSM4",62.54600143,"hist",16.9700007944444
"101",1964,"CCSM4",62.8138504,"hist",17.1188057777778
"102",1965,"CCSM4",60.73429871,"hist",15.9634992833333
"103",1966,"CCSM4",65.28137207,"hist",18.48965115
"104",1967,"CCSM4",65.14321899,"hist",18.4128994388889
"105",1968,"CCSM4",63.01478577,"hist",17.2304365388889
"106",1969,"CCSM4",62.74650192,"hist",17.0813899555556
"107",1970,"CCSM4",64.38632202,"hist",17.9924011222222
"108",1971,"CCSM4",63.66083908,"hist",17.5893550444444
"109",1972,"CCSM4",63.32960129,"hist",17.40533405
"110",1973,"CCSM4",64.94178772,"hist",18.3009931777778
"111",1974,"CCSM4",62.23893356,"hist",16.7994075333333
"112",1975,"CCSM4",64.21652222,"hist",17.8980679
"113",1976,"CCSM4",63.24857712,"hist",17.3603206222222
"114",1977,"CCSM4",65.13768005,"hist",18.40982225
"115",1978,"CCSM4",64.73991394,"hist",18.1888410777778
"116",1979,"CCSM4",63.13953781,"hist",17.2997432277778
"117",1980,"CCSM4",64.50502777,"hist",18.0583487611111
"118",1981,"CCSM4",66.97480774,"hist",19.4304487444444
"119",1982,"CCSM4",64.09106445,"hist",17.8283691388889
"120",1983,"CCSM4",63.32844543,"hist",17.4046919055556
"121",1984,"CCSM4",61.65605164,"hist",16.4755842444444
"122",1985,"CCSM4",64.83137512,"hist",18.2396528444444
"123",1986,"CCSM4",67.2888031,"hist",19.6048906111111
"124",1987,"CCSM4",65.09010315,"hist",18.3833906388889
"125",1988,"CCSM4",64.32292938,"hist",17.9571829888889
"126",1989,"CCSM4",64.94360352,"hist",18.3020019555556
"127",1990,"CCSM4",65.86321259,"hist",18.8128958833333
"128",1991,"CCSM4",64.34929657,"hist",17.9718314277778
"129",1960,"CESM1.BGC",64.21795654,"hist",17.8988647444444
"130",1961,"CESM1.BGC",63.5452652,"hist",17.5251473333333
"131",1962,"CESM1.BGC",64.10018158,"hist",17.8334342111111
"132",1963,"CESM1.BGC",62.87575531,"hist",17.1531973944444
"133",1964,"CESM1.BGC",62.95914459,"hist",17.1995247722222
"134",1965,"CESM1.BGC",61.19419098,"hist",16.2189949888889
