"","year","model","temp","scenario","tempC"
"1",1960,"Observed",32.87031174,"hist",0.483506522222221
"2",1961,"Observed",32.79357147,"hist",0.440873038888891
"3",1962,"Observed",31.94546509,"hist",-0.0302971722222228
"4",1963,"Observed",32.95482636,"hist",0.530459088888888
"5",1964,"Observed",31.24666023,"hist",-0.418522094444445
"6",1965,"Observed",32.40806961,"hist",0.226705338888888
"7",1966,"Observed",32.84804535,"hist",0.471136305555555
"8",1967,"Observed",33.59680176,"hist",0.887112088888888
"9",1968,"Observed",33.27494812,"hist",0.70830451111111
"10",1969,"Observed",33.57761765,"hist",0.87645425
"11",1970,"Observed",33.05596542,"hist",0.586647455555555
"12",1971,"Observed",32.40473175,"hist",0.224850972222224
"13",1972,"Observed",33.11529922,"hist",0.619610677777776
"14",1973,"Observed",33.30291367,"hist",0.723840927777779
"15",1974,"Observed",33.25751114,"hist",0.698617299999999
"16",1975,"Observed",31.99074745,"hist",-0.0051403055555552
"17",1976,"Observed",32.09582138,"hist",0.0532340999999982
"18",1977,"Observed",33.3974762,"hist",0.776375666666667
"19",1978,"Observed",33.17533875,"hist",0.652965972222223
"20",1979,"Observed",32.87055206,"hist",0.483640033333334
"21",1980,"Observed",33.79494858,"hist",0.997193655555558
"22",1981,"Observed",35.0544548,"hist",1.69691933333333
"23",1982,"Observed",32.46947861,"hist",0.260821450000002
"24",1983,"Observed",34.37928391,"hist",1.32182439444444
"25",1984,"Observed",32.81031799,"hist",0.450176661111112
"26",1985,"Observed",31.65842819,"hist",-0.189762116666667
"27",1986,"Observed",34.67402649,"hist",1.48557027222222
"28",1987,"Observed",33.86475754,"hist",1.03597641111111
"29",1988,"Observed",33.17480087,"hist",0.652667149999999
"30",1989,"Observed",32.30434418,"hist",0.169080100000001
"31",1990,"Observed",32.43946457,"hist",0.244146983333332
"32",1991,"Observed",32.98277664,"hist",0.545987022222221
"33",1960,"ACCESS1.0",31.82498741,"hist",-0.0972292166666675
"34",1961,"ACCESS1.0",34.61469269,"hist",1.45260705
"35",1962,"ACCESS1.0",32.6134758,"hist",0.340819888888891
"36",1963,"ACCESS1.0",34.59552002,"hist",1.44195556666667
"37",1964,"ACCESS1.0",32.63001251,"hist",0.35000695
"38",1965,"ACCESS1.0",31.55505371,"hist",-0.247192383333334
"39",1966,"ACCESS1.0",30.67894936,"hist",-0.733917022222222
"40",1967,"ACCESS1.0",32.39820099,"hist",0.221222772222222
"41",1968,"ACCESS1.0",30.19401169,"hist",-1.00332683888889
"42",1969,"ACCESS1.0",32.56008148,"hist",0.311156377777778
"43",1970,"ACCESS1.0",33.28792572,"hist",0.715514288888887
"44",1971,"ACCESS1.0",32.70334625,"hist",0.390747916666668
"45",1972,"ACCESS1.0",33.70864868,"hist",0.949249266666668
"46",1973,"ACCESS1.0",35.35945511,"hist",1.86636395
"47",1974,"ACCESS1.0",33.85130692,"hist",1.02850384444444
"48",1975,"ACCESS1.0",34.80146027,"hist",1.55636681666667
"49",1976,"ACCESS1.0",31.69166946,"hist",-0.171294744444444
"50",1977,"ACCESS1.0",32.69202805,"hist",0.384460027777776
"51",1978,"ACCESS1.0",33.49672318,"hist",0.831512877777776
"52",1979,"ACCESS1.0",34.01269531,"hist",1.11816406111111
"53",1980,"ACCESS1.0",33.7578125,"hist",0.9765625
"54",1981,"ACCESS1.0",34.40523529,"hist",1.33624182777778
"55",1982,"ACCESS1.0",31.7998848,"hist",-0.111175111111111
"56",1983,"ACCESS1.0",34.1027832,"hist",1.16821288888889
"57",1984,"ACCESS1.0",30.8646183,"hist",-0.630767611111111
"58",1985,"ACCESS1.0",33.72452545,"hist",0.958069694444445
"59",1986,"ACCESS1.0",32.25587082,"hist",0.142150455555555
"60",1987,"ACCESS1.0",32.23708344,"hist",0.131713022222222
"61",1988,"ACCESS1.0",34.28065109,"hist",1.26702838333333
"62",1989,"ACCESS1.0",32.35271454,"hist",0.195952522222223
"63",1990,"ACCESS1.0",32.30734253,"hist",0.17074585
"64",1991,"ACCESS1.0",32.51075363,"hist",0.283752016666669
"65",1960,"CanESM2",32.38853073,"hist",0.215850405555555
"66",1961,"CanESM2",33.05853271,"hist",0.588073727777779
"67",1962,"CanESM2",33.31918335,"hist",0.732879638888891
"68",1963,"CanESM2",32.29646683,"hist",0.164703794444444
"69",1964,"CanESM2",32.95613861,"hist",0.531188116666665
"70",1965,"CanESM2",31.35900307,"hist",-0.356109405555556
"71",1966,"CanESM2",32.18566895,"hist",0.103149416666667
"72",1967,"CanESM2",33.44223022,"hist",0.801239011111111
"73",1968,"CanESM2",29.57515335,"hist",-1.34713702777778
"74",1969,"CanESM2",34.35316086,"hist",1.30731158888889
"75",1970,"CanESM2",31.01974487,"hist",-0.544586183333333
"76",1971,"CanESM2",30.00757408,"hist",-1.10690328888889
"77",1972,"CanESM2",33.73776245,"hist",0.965423583333332
"78",1973,"CanESM2",34.62227249,"hist",1.45681805
"79",1974,"CanESM2",34.64215851,"hist",1.46786583888889
"80",1975,"CanESM2",33.19745636,"hist",0.665253533333332
"81",1976,"CanESM2",33.53918457,"hist",0.855102538888891
"82",1977,"CanESM2",32.32453537,"hist",0.180297427777778
"83",1978,"CanESM2",31.71479416,"hist",-0.158447688888889
"84",1979,"CanESM2",32.61006927,"hist",0.33892737222222
"85",1980,"CanESM2",34.06488037,"hist",1.14715576111111
"86",1981,"CanESM2",33.70936203,"hist",0.949645572222223
"87",1982,"CanESM2",33.17196655,"hist",0.651092527777778
"88",1983,"CanESM2",33.47832108,"hist",0.821289488888889
"89",1984,"CanESM2",33.22294235,"hist",0.679412416666665
"90",1985,"CanESM2",35.55023193,"hist",1.97235107222222
"91",1986,"CanESM2",33.8573494,"hist",1.03186077777778
"92",1987,"CanESM2",33.02293777,"hist",0.56829876111111
"93",1988,"CanESM2",31.76280594,"hist",-0.131774477777778
"94",1989,"CanESM2",34.92543793,"hist",1.62524329444445
"95",1990,"CanESM2",35.34275436,"hist",1.85708575555556
"96",1991,"CanESM2",34.22676468,"hist",1.23709148888889
"97",1960,"CCSM4",32.25070953,"hist",0.139283072222223
"98",1961,"CCSM4",32.63671112,"hist",0.353728400000001
"99",1962,"CCSM4",30.92136192,"hist",-0.599243377777778
"100",1963,"CCSM4",32.37095261,"hist",0.206084783333335
"101",1964,"CCSM4",34.76998138,"hist",1.53887854444444
"102",1965,"CCSM4",29.84261513,"hist",-1.19854715
"103",1966,"CCSM4",31.05435181,"hist",-0.525360105555556
"104",1967,"CCSM4",32.45626068,"hist",0.253478155555555
"105",1968,"CCSM4",31.75764084,"hist",-0.134643977777777
"106",1969,"CCSM4",33.31259155,"hist",0.729217527777778
"107",1970,"CCSM4",33.70194626,"hist",0.9455257
"108",1971,"CCSM4",32.93284988,"hist",0.518249933333333
"109",1972,"CCSM4",31.51605225,"hist",-0.26885986111111
"110",1973,"CCSM4",34.50164032,"hist",1.38980017777778
"111",1974,"CCSM4",34.48351288,"hist",1.37972937777778
"112",1975,"CCSM4",32.81551361,"hist",0.453063116666665
"113",1976,"CCSM4",32.20082855,"hist",0.111571416666665
"114",1977,"CCSM4",33.14493942,"hist",0.636077455555556
"115",1978,"CCSM4",35.91300201,"hist",2.17389000555556
"116",1979,"CCSM4",31.8994751,"hist",-0.0558471666666666
"117",1980,"CCSM4",32.81018829,"hist",0.450104605555555
"118",1981,"CCSM4",33.66657257,"hist",0.92587365
"119",1982,"CCSM4",33.12225342,"hist",0.623474122222222
"120",1983,"CCSM4",34.64836502,"hist",1.4713139
"121",1984,"CCSM4",33.38301468,"hist",0.76834148888889
"122",1985,"CCSM4",32.9919548,"hist",0.551086000000001
"123",1986,"CCSM4",33.850811,"hist",1.02822833333333
"124",1987,"CCSM4",34.06108856,"hist",1.1450492
"125",1988,"CCSM4",35.65712738,"hist",2.03173743333333
"126",1989,"CCSM4",33.04732513,"hist",0.581847294444443
"127",1990,"CCSM4",34.3769455,"hist",1.32052527777778
"128",1991,"CCSM4",35.31809235,"hist",1.84338463888889
"129",1960,"CESM1.BGC",33.34659576,"hist",0.748108755555555
"130",1961,"CESM1.BGC",32.88862991,"hist",0.493683283333333
"131",1962,"CESM1.BGC",32.51943207,"hist",0.288573372222223
"132",1963,"CESM1.BGC",33.20278168,"hist",0.668212044444445
"133",1964,"CESM1.BGC",33.81175613,"hist",1.00653118333333
"134",1965,"CESM1.BGC",33.82526779,"hist",1.01403766111111
"135",1966,"CESM1.BGC",30.06371498,"hist",-1.0757139
"136",1967,"CESM1.BGC",31.09439659,"hist",-0.503113005555556
"137",1968,"CESM1.BGC",32.52827835,"hist",0.293487972222223
"138",1969,"CESM1.BGC",32.19116211,"hist",0.106201172222223
"139",1970,"CESM1.BGC",32.99437332,"hist",0.552429622222223
