"","year","model","precip","scenario","precipcm"
"1",1960,"Observed",9.187077301,"hist",23.33517634454
"2",1961,"Observed",8.868069456,"hist",22.52489641824
"3",1962,"Observed",9.864368127,"hist",25.05549504258
"4",1963,"Observed",12.78126026,"hist",32.4644010604
"5",1964,"Observed",10.54983339,"hist",26.7965768106
"6",1965,"Observed",13.32796047,"hist",33.8530195938
"7",1966,"Observed",7.019817058,"hist",17.83033532732
"8",1967,"Observed",11.92585079,"hist",30.2916610066
"9",1968,"Observed",10.14314506,"hist",25.7635884524
"10",1969,"Observed",13.13686388,"hist",33.3676342552
"11",1970,"Observed",11.04514083,"hist",28.0546577082
"12",1971,"Observed",11.4861573,"hist",29.174839542
"13",1972,"Observed",9.130593399,"hist",23.19170723346
"14",1973,"Observed",11.10514164,"hist",28.2070597656
"15",1974,"Observed",8.174783419,"hist",20.76394988426
"16",1975,"Observed",11.19098216,"hist",28.4250946864
"17",1976,"Observed",10.36239703,"hist",26.3204884562
"18",1977,"Observed",10.22800303,"hist",25.9791276962
"19",1978,"Observed",14.29378555,"hist",36.306215297
"20",1979,"Observed",10.3250205,"hist",26.22555207
"21",1980,"Observed",13.19173097,"hist",33.5069966638
"22",1981,"Observed",10.89507681,"hist",27.6734950974
"23",1982,"Observed",13.79649385,"hist",35.043094379
"24",1983,"Observed",18.43424517,"hist",46.8229827318
"25",1984,"Observed",12.16406402,"hist",30.8967226108
"26",1985,"Observed",8.835129301,"hist",22.44122842454
"27",1986,"Observed",9.21561125,"hist",23.407652575
"28",1987,"Observed",12.31075121,"hist",31.2693080734
"29",1988,"Observed",9.386330738,"hist",23.84128007452
"30",1989,"Observed",7.682526132,"hist",19.51361637528
"31",1990,"Observed",9.141033391,"hist",23.21822481314
"32",1991,"Observed",9.852199209,"hist",25.02458599086
"33",1960,"ACCESS1.0",9.914532313,"hist",25.18291207502
"34",1961,"ACCESS1.0",12.06078618,"hist",30.6343968972
"35",1962,"ACCESS1.0",13.6563129,"hist",34.687034766
"36",1963,"ACCESS1.0",11.11593181,"hist",28.2344667974
"37",1964,"ACCESS1.0",9.636207283,"hist",24.47596649882
"38",1965,"ACCESS1.0",9.356448252,"hist",23.76537856008
"39",1966,"ACCESS1.0",11.02205297,"hist",27.9960145438
"40",1967,"ACCESS1.0",8.383769717,"hist",21.29477508118
"41",1968,"ACCESS1.0",10.88458958,"hist",27.6468575332
"42",1969,"ACCESS1.0",13.09397719,"hist",33.2587020626
"43",1970,"ACCESS1.0",8.631889636,"hist",21.92499967544
"44",1971,"ACCESS1.0",9.895251872,"hist",25.13393975488
"45",1972,"ACCESS1.0",10.45864888,"hist",26.5649681552
"46",1973,"ACCESS1.0",14.08578957,"hist",35.7779055078
"47",1974,"ACCESS1.0",10.44878996,"hist",26.5399264984
"48",1975,"ACCESS1.0",12.39123258,"hist",31.4737307532
"49",1976,"ACCESS1.0",16.77344427,"hist",42.6045484458
"50",1977,"ACCESS1.0",6.183374553,"hist",15.70577136462
"51",1978,"ACCESS1.0",12.80530916,"hist",32.5254852664
"52",1979,"ACCESS1.0",17.63138789,"hist",44.7837252406
"53",1980,"ACCESS1.0",10.3952582,"hist",26.403955828
